term_ID,description,frequency,plot_X,plot_Y,plot_size,value,uniqueness,dispensability,representative,eliminated
GO:0072329,monocarboxylic acid catabolic process,0.29%,null,null,4.571,2.9025,0.451,0.879,44282,1
GO:0044724,single-organism carbohydrate catabolic process,0.78%,null,null,5.001,2.2763,0.61,0.779,44282,1
GO:0044712,single-organism catabolic process,2.52%,null,null,5.51,1.9538,0.592,0.718,44282,1
GO:0016054,organic acid catabolic process,0.95%,null,null,5.084,2.799,0.414,0.924,44282,1
GO:0046395,carboxylic acid catabolic process,0.95%,null,null,5.084,2.8648,0.408,0.795,44282,1
GO:0044248,cellular catabolic process,3.27%,null,null,5.622,1.4799,0.698,0.813,44282,1
GO:0009063,cellular amino acid catabolic process,0.65%,null,null,4.92,3.119,0.405,0.952,44282,1
GO:1901575,organic substance catabolic process,4.61%,null,null,5.772,1.4559,0.718,0.888,44282,1
GO:1901606,alpha-amino acid catabolic process,0.57%,null,null,4.863,3.1599,0.407,0.939,44282,1
GO:0070271,protein complex biogenesis,0.96%,0.106,-4.551,5.092,1.3949,0.925,0.622,70271,0
GO:0009132,nucleoside diphosphate metabolic process,0.70%,-5.417,4.859,4.952,2.4004,0.422,0.637,9132,0
GO:0046939,nucleotide phosphorylation,0.79%,-5.527,5.039,5.007,2.4542,0.415,0.646,46939,0
GO:0016052,carbohydrate catabolic process,1.08%,3.463,4.024,5.141,2.0894,0.741,0.649,16052,0
GO:0042455,ribonucleoside biosynthetic process,1.42%,-3.779,4.522,5.26,2.5621,0.346,0.65,42455,0
GO:0046128,purine ribonucleoside metabolic process,2.00%,null,null,5.408,2.1645,0.336,0.878,42455,1
GO:0046129,purine ribonucleoside biosynthetic process,0.92%,null,null,5.073,2.5319,0.366,0.936,42455,1
GO:0042278,purine nucleoside metabolic process,2.01%,null,null,5.41,2.1399,0.339,0.904,42455,1
GO:0009116,nucleoside metabolic process,2.92%,null,null,5.573,2.1573,0.32,0.947,42455,1
GO:0009119,ribonucleoside metabolic process,2.52%,null,null,5.51,2.175,0.328,0.904,42455,1
GO:0009163,nucleoside biosynthetic process,1.44%,null,null,5.265,2.4528,0.347,0.979,42455,1
GO:0042451,purine nucleoside biosynthetic process,0.92%,null,null,5.073,2.5319,0.366,0.936,42455,1
GO:1901659,glycosyl compound biosynthetic process,1.47%,null,null,5.274,2.3492,0.571,0.806,42455,1
GO:0008652,cellular amino acid biosynthetic process,2.93%,-4.042,4.307,5.575,2.9891,0.4,0.654,8652,0
GO:0016053,organic acid biosynthetic process,4.17%,null,null,5.728,1.9939,0.412,0.807,8652,1
GO:0046394,carboxylic acid biosynthetic process,4.16%,null,null,5.727,1.9965,0.407,0.908,8652,1
GO:1901607,alpha-amino acid biosynthetic process,2.56%,null,null,5.516,2.6902,0.403,0.847,8652,1
GO:1901605,alpha-amino acid metabolic process,3.63%,null,null,5.668,2.5522,0.41,0.795,8652,1
GO:1901565,organonitrogen compound catabolic process,1.20%,-0.274,6.615,5.186,2.0364,0.616,0.657,1901565,0
GO:1901657,glycosyl compound metabolic process,2.96%,-8.513,1.417,5.58,2.1472,0.619,0.665,1901657,0
GO:0019693,ribose phosphate metabolic process,3.03%,null,null,5.59,1.5896,0.542,0.738,1901657,1
GO:0034440,lipid oxidation,0.09%,-6.715,-0.644,4.045,2.7649,0.687,0.68,34440,0
GO:0006520,cellular amino acid metabolic process,5.59%,-4.446,4.539,5.856,2.3571,0.396,0.69,6520,0
GO:0043436,oxoacid metabolic process,9.01%,null,null,6.063,2.1062,0.388,0.902,6520,1
GO:0019752,carboxylic acid metabolic process,8.83%,null,null,6.054,2.0999,0.389,0.825,6520,1
